rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Date ,Latitude,Longitude
444,Sidemen,"18,800,000","5,257,834,105",Entertainment,Sidemen,312,United Kingdom,GB,Entertainment,"1,263",19,113,"78,158,000","$19,500.00 ","$312,600.00 ","$234,500.00 ","$3,800,000.00 ","100,000",14-Jun-15,55.378051,-3.435973
445,Cardi B,"18,800,000","7,634,430,188",People & Blogs,Cardi B,9,NA,NA,NA,"4,054,469",NA,NA,7,$0.00 ,$0.00 ,$0.00 ,$0.30 ,0,15-Aug-17,nan,nan
446,Busy Fun Ltd,"18,800,000","7,762,077,012",NA,TG MAYANK YT,2,NA,NA,NA,"4,057,882",NA,NA,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0,21-Dec-21,nan,nan
447,Farruko,"18,800,000","9,573,641,299",Music,Farruko,217,United States,US,Music,485,117,100,"97,758,000","$24,400.00 ","$391,000.00 ","$293,300.00 ","$4,700,000.00 ","100,000",30-Oct-09,37.09024,-95.712891
448,ýýýýýýýýýýýýýýýýýýýýýý,"18,800,000","9,594,188,708",Entertainment,ýýýýýýýýýýýýýýýýýýýýýý,530,Ukraine,UA,Entertainment,483,2,113,"68,006,000","$17,000.00 ","$272,000.00 ","$204,000.00 ","$3,300,000.00 ","100,000",20-Oct-14,48.379433,31.16558
449,Triggered Insaan,"18,800,000","3,276,891,538",Comedy,Triggered Insaan,304,India,IN,People,"2,508",79,24,"109,026,000","$27,300.00 ","$436,100.00 ","$327,100.00 ","$5,200,000.00 ","700,000",17-Jul-14,20.593684,78.96288
450,CKN,"18,700,000","12,295,637,162",Entertainment,cKn,16,Spain,ES,Music,"3,188,353","4,093","5,631",102,$0.00 ,$0.40 ,$0.30 ,$5.00 ,1,26-Sep-05,40.463667,-3.74922
451,Ali-A,"18,700,000","6,148,303,268",Gaming,ali-a,2,NA,NA,People,"4,053,443",NA,"7,729",1,$0.00 ,$0.00 ,$0.00 ,$0.10 ,0,7-Jul-16,nan,nan
452,Shemaroo Comedy,"18,600,000","6,047,584,292",Entertainment,Shemaroo Comedy,"4,487",India,IN,Comedy,"1,033",81,24,"102,431,000","$25,600.00 ","$409,700.00 ","$307,300.00 ","$4,900,000.00 ","200,000",31-Jan-07,20.593684,78.96288
453,Smile Family Spanish,"18,600,000","7,008,250,496",NA,Smile Family Spanish,457,United States,US,Entertainment,830,118,115,"43,396,000","$10,800.00 ","$173,600.00 ","$130,200.00 ","$2,100,000.00 ","200,000",19-Jun-19,37.09024,-95.712891
454,GRAMMY GOLD OFFICIAL,"18,600,000","20,196,704,276",Music,GRAMMY GOLD OFFICIAL,"6,287",Thailand,TH,Music,121,5,101,"168,597,000","$42,100.00 ","$674,400.00 ","$505,800.00 ","$8,100,000.00 ","100,000",15-Jan-14,15.870032,100.992541
455,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,"18,600,000","8,761,255,550",Gaming,ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games ýýý,"6,289",Saudi Arabia,SA,Games,566,3,31,"43,007,000","$10,800.00 ","$172,000.00 ","$129,000.00 ","$2,100,000.00 ","500,000",29-Nov-13,23.885942,45.079162
456,Dan-Sa / Daniel Saboya,"18,500,000","2,908,120,896",Music,Dan-Sa / Daniel Saboya,"1,329",Brazil,BR,Music,"45,213",24,102,"6,148,000,000",$0.00 ,$0.00 ,$0.00 ,$0.00 ,"100,000",22-Sep-07,-14.235004,-51.92528
457,Marmok,"18,500,000","3,457,618,361",Gaming,Marmok,374,Russia,RU,Games,"2,356",5,32,"38,282,000","$9,600.00 ","$153,100.00 ","$114,800.00 ","$1,800,000.00 ","100,000",27-Apr-08,61.52401,105.318756
458,The ACE Family,"18,500,000","4,558,380,251",People & Blogs,The ACE Family,712,NA,NA,People,"1,572",NA,25,"2,835,000",$709.00 ,"$11,300.00 ","$8,500.00 ","$136,100.00 ",0,10-Jan-16,nan,nan
459,Like Nastya Vlog,"18,500,000","8,147,575,884",People & Blogs,Like Nastya Vlog,493,Russia,RU,People,630,5,25,"48,947,000","$12,200.00 ","$195,800.00 ","$146,800.00 ","$2,300,000.00 ","100,000",14-Jan-16,61.52401,105.318756
460,Willie Salim,"18,500,000","4,051,072,188",People & Blogs,Willie Salim,679,Indonesia,ID,People,"1,868",13,25,"197,369,000","$49,300.00 ","$789,500.00 ","$592,100.00 ","$9,500,000.00 ","1,600,000",6-Jan-14,-0.789275,113.921327
461,PDK Films,"18,400,000","4,120,324,310",Entertainment,PDK Films,111,United States,US,Entertainment,"1,825",120,116,"14,430,000","$3,600.00 ","$57,700.00 ","$43,300.00 ","$692,600.00 ",0,21-Jul-09,37.09024,-95.712891
462,TheWillyrex,"18,400,000","7,038,827,526",Comedy,TheWillyrex,"6,943",Spain,ES,Games,825,7,33,"11,004,000","$2,800.00 ","$44,000.00 ","$33,000.00 ","$528,200.00 ",0,26-Jan-11,40.463667,-3.74922
463,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"18,400,000","11,544,297,793",Music,RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,"3,159",Thailand,TH,Music,346,6,103,"54,133,000","$13,500.00 ","$216,500.00 ","$162,400.00 ","$2,600,000.00 ","100,000",8-Mar-11,15.870032,100.992541
464,Dhar Mann,"18,400,000","11,280,732,382",People & Blogs,Alejandro Basalo,0,NA,NA,NA,"4,057,944",NA,NA,NA,$0.00 ,$0.00 ,$0.00 ,$0.00 ,2,25-Apr-07,nan,nan
465,shakiraVEVO,"18,400,000","25,367,126,292",Music,shakiraVEVO,197,United States,US,Music,72,120,103,"267,126,000","$66,800.00 ","$1,100,000.00 ","$801,400.00 ","$12,800,000.00 ",0,2-Sep-09,37.09024,-95.712891
